uid,language,utterance,utterance_stripped,begin,end,participant,duration,FTO,overlap,nature,nchar,n,freq,rank,streak
dutch-08-217-232340,dutch,ja,ja,232340,232655,spreker2 [v] (TIE2),315,-432,full,talk,2,77862,1.2112289194185375e-5,1,2
dutch-08-252-274120,dutch,ja,ja,274120,274400,spreker1 [v] (TIE0),280,233,NA,talk,2,77862,1.2112289194185375e-5,1,2
dutch-08-258-281971,dutch,ja,ja,281971,282308.99999999994,spreker1 [v] (TIE0),337.9999999999418,537.0000000000582,NA,talk,2,77862,1.2112289194185375e-5,1,2
dutch-08-259-282846,dutch,ja,ja,282846,283080,spreker1 [v] (TIE0),234,NA,NA,talk,2,77862,1.2112289194185375e-5,1,3
dutch-08-290-313350,dutch,ja,ja,313350,313712,spreker2 [v] (TIE2),362,-828,full,talk,2,77862,1.2112289194185375e-5,1,2
dutch-08-457-505646,dutch,oh,oh,505646,505938,spreker2 [v] (TIE2),292,324,NA,talk,2,6948,1.0808377041586394e-6,5,2
dutch-08-460-508246,dutch,ja,ja,508246,508668,spreker2 [v] (TIE2),422,-1448,full,talk,2,77862,1.2112289194185375e-5,1,3
dutch-08-461-509262,dutch,ja,ja,509262,509607,spreker2 [v] (TIE2),345,-432,full,talk,2,77862,1.2112289194185375e-5,1,4
dutch-08-617-694767,dutch,ja,ja,694767,695048,spreker2 [v] (TIE2),281,-22,NA,talk,2,77862,1.2112289194185375e-5,1,2
dutch-08-618-696139,dutch,ja,ja,696139,696323,spreker2 [v] (TIE2),184,NA,NA,talk,2,77862,1.2112289194185375e-5,1,3
dutch-08-709-805975,dutch,je moet alleen noten,je moet alleen noten,805975,807163,spreker1 [v] (TIE0),1188,83,NA,talk,20,2,3.111219643519399e-10,204,2
dutch-08-780-897811,dutch,ja,ja,897811,898124,spreker2 [v] (TIE2),313,-799,full,talk,2,77862,1.2112289194185375e-5,1,2
dutch-09-022-24831,dutch,jawel,jawel,24831,25521,spreker2 [v] (TIE2),690,-837,full,talk,5,345,5.3668538850709647e-8,42,2
dutch-09-231-291436,dutch,maar,maar,291436,292085,spreker2 [v] (TIE2),649,NA,NA,talk,4,1347,2.0954064299103157e-7,19,2
dutch-09-433-603794,dutch,ja,ja,603794,604205,spreker2 [v] (TIE2),411,-65,partial,talk,2,77862,1.2112289194185375e-5,1,2
dutch-10-013-14687,dutch,ja,ja,14687,15108,spreker2 [v] (TIE2),421,-299,partial,talk,2,77862,1.2112289194185375e-5,1,2
dutch-10-016-19410,dutch,ja,ja,19410,19869,spreker2 [v] (TIE2),459,-403,partial,talk,2,77862,1.2112289194185375e-5,1,3
dutch-10-028-35672,dutch,ja,ja,35672,36063,spreker2 [v] (TIE2),391,59,NA,talk,2,77862,1.2112289194185375e-5,1,2
dutch-10-032-41760,dutch,ja,ja,41760,42197,spreker2 [v] (TIE2),437,-414,partial,talk,2,77862,1.2112289194185375e-5,1,3
dutch-10-036-48749,dutch,ja,ja,48749,49095,spreker2 [v] (TIE2),346,114,NA,talk,2,77862,1.2112289194185375e-5,1,4
dutch-10-047-60571,dutch,ja,ja,60571,60907,spreker2 [v] (TIE2),336,-11,partial,talk,2,77862,1.2112289194185375e-5,1,2
